Export Date,Contact Name,Email,Phone,Job Title,Business Name,Website,Category,Review Count,Review Rating,Address,Status,Description,Place ID
2026-08-04 21:29:26,Info/Office,ag@aghvac.net,+14082169617,General Contact,AG Mechanical,https://www.sanjosecahvaccontractor.com/,"HVAC contractor, Service establishment",1,5.0,,,,ChIJU8odvnjLj4ARhkrKn5au0-8
2026-08-04 21:29:26,Info/Office,info@accelairsystems.com,+14082821180,General Contact,Accel Air Systems Inc,https://accelairsystems.com/,Air conditioning contractor,10,3.8,"374 Reed St, Santa Clara, CA 95050, United States",,,ChIJX_aaC7fLj4ARepAMNJV4t1M
2026-08-04 21:29:26,Info/Office,emilee@advantageheatinginc.com,+16692475131,General Contact,Advantage Heating and Sheet Metal Inc,http://www.advantageheatinginc.com/,HVAC contractor,35,4.9,"5201 Great America Pkwy Suite 320, Santa Clara, CA 95054, United States",,,ChIJnQnX4XovjoARI0tCd_CxhA0
2026-08-04 21:29:26,Info/Office,admin@aircmechanical.net,+19257248298,General Contact,"Air Control Mechanical, Inc",http://www.aircontrolmechanicalca.com/,HVAC contractor,2,5.0,"671 Aldo Ave #17, Santa Clara, CA 95054, United States",,,ChIJYXqH-H7Jj4ARg0kglinFvbU
2026-08-04 21:29:26,Info/Office,info@bayareamechanicalservice.com,+18885969226,General Contact,Bay Area Mechanical LLC,https://bayareamechanicalservice.com/contact/,HVAC contractor,5,5.0,"2465 De La Cruz Blvd, Santa Clara, CA 95050, United States",,,ChIJ1_ODacnLj4AR9ndS-bHNak0
2026-08-04 21:29:26,Info/Office,hello@breathable.com,+14084597001,General Contact,Breathable,http://www.breathable.com/,"Air duct cleaning service, Service establishment, HVAC contractor",82,4.8,,,,ChIJi_B8ypzKj4AR4y63pOY4bso
2026-08-04 21:29:26,Info/Office,mo@calairmech.com,+14082158099,General Contact,California Air Mechanical,https://calairmech.com/,"HVAC contractor, Service establishment",0,0.0,,,,ChIJDbpN0rfjY20RPxmaujG_5oY
2026-08-04 21:29:26,Info/Office,info@1800coolaid.com,+18002665243,General Contact,Cool Aid Air Conditioning and Refrigeration,https://1800coolaid.com/,HVAC contractor,12,4.7,"3511 Thomas Rd #10, Santa Clara, CA 95054, United States",,,ChIJ8S8Fgi7Nj4ARRclqq-a9OZw
2026-08-04 21:29:26,Info/Office,info@fairpriceheatingandcooling.com,+16692826453,General Contact,FairPrice Heating and Cooling,https://fairpriceheatingandcooling.com/santa-clara-ca/,"HVAC contractor, Air conditioning contractor, Air conditioning repair service, Air duct cleaning service, Heating contractor, Insulation contractor",22,5.0,"1336 Fremont St, Santa Clara, CA 95050, United States",,,ChIJAz-0U67Lj4ARY7gxi3xj4QM
2026-08-04 21:29:26,Info/Office,edu@fuseservice.com,+14086896288,General Contact,"Fuse School of HVAC, Electrical & Plumbing",https://fuse.school/,Training center,20,5.0,"2222 Ronald St, Santa Clara, CA 95050, United States",,,ChIJ7QjgPmbJj4ARec3-qwSBRtM
2026-08-04 21:29:26,Info/Office,info@fuse.club,+14086896288,General Contact,"Fuse School of HVAC, Electrical & Plumbing",https://fuse.school/,Training center,20,5.0,"2222 Ronald St, Santa Clara, CA 95050, United States",,,ChIJ7QjgPmbJj4ARec3-qwSBRtM
2026-08-04 21:29:26,Info/Office,info@cooling.repair,+14084759747,General Contact,Fusion HVAC & Refrigeration Repair Corp,https://fusion.repair/795comstock,HVAC contractor,28,4.9,"5201 Great America Pkwy #332, Santa Clara, CA 95054, United States",,,ChIJHVWkbszJj4ARiqfNGGVJ6rI
2026-08-04 21:29:26,Info/Office,info@ibt.edu,+14086693289,General Contact,HV/AC Department IBT Santa Clara,https://ibt.edu/programs/commercial-refrigeration-heating-and-ac/,Trade school,2,3.0,"2400 Walsh Ave, Santa Clara, CA 95051, United States",,,ChIJTRXAr9TLj4AR7hHjwIvhfSE
2026-08-04 21:29:26,Info/Office,hello@rfuenzalida.com,+14088597793,General Contact,Interior Comfort HVAC - Heating and Air Conditioning,http://ichvac.com/,"HVAC contractor, Air conditioning contractor, Air conditioning repair service, Air conditioning system supplier, Service establishment, Furnace repair service, Heating contractor, Heating equipment supplier, Mechanical contractor, Repair service",16,5.0,,,,ChIJX4pywQshjoARWxXTUPZ0AZc
2026-08-04 21:29:26,Info/Office,interiorcomforthvac@gmail.com,+14088597793,General Contact,Interior Comfort HVAC - Heating and Air Conditioning,http://ichvac.com/,"HVAC contractor, Air conditioning contractor, Air conditioning repair service, Air conditioning system supplier, Service establishment, Furnace repair service, Heating contractor, Heating equipment supplier, Mechanical contractor, Repair service",16,5.0,,,,ChIJX4pywQshjoARWxXTUPZ0AZc
2026-08-04 21:29:26,Info/Office,info@jhvacinc.com,+16698005654,General Contact,JH Heating and Cooling inc,https://jhvacinc.com/,"HVAC contractor, Air conditioning contractor, Air conditioning repair service, Air filter supplier, Service establishment, Furnace repair service, Hot water system supplier",29,4.8,,,,ChIJ0ZgKrgPTHqwRRCLfi-AQ2Ac
2026-08-04 21:29:26,Info/Office,info@madesimpleheatingandair.com,+14086761602,General Contact,Made Simple Heating And Air,https://madesimpleheatingandair.com/?utm_source=gbp&utm_medium=social&utm_campaign=1seo_gbp_profile,"HVAC contractor, Air compressor supplier, Air conditioning contractor, Air conditioning repair service, Air conditioning store, Air conditioning system supplier, Furnace repair service, Furnace store, Heating contractor, Heating equipment supplier",117,4.9,"3030 Lawrence Expy, Santa Clara, CA 95051, United States",,,ChIJKZwtn3_Qa4gRhjsj7bXhggk
2026-08-04 21:29:26,Info/Office,info@maxacrepairservice.com,+14086921838,General Contact,Max Household Services Inc.,https://maxacrepairservice.com/santa-clara/,"Air conditioning repair service, Air conditioning contractor, Air duct cleaning service, HVAC contractor",60,4.9,"3541 Earl Dr, Santa Clara, CA 95051, United States",,,ChIJ1xJHwaa1j4ARDn5qO1zK7ds
